C_Country_codes,Postal_codes,C_Location_name,C_Area,C_Lat,C_Long,C_V12,Match_location
PK,41301,Ahmadal,Norhern Punajb Rawalpindi,32.6956,71.9742, ,AHMADAL
PK,47045,Ahmadnagar,Norhern Punajb Rawalpindi,30.3,71.9,4,AHMADNAGAR
PK,96001,Ahmadoon,Balochisan,29.7833,67.9833, ,AHMADOON
PK,66031,Ahmadpur,Hyderabad,27.55,68.55,4,AHMADPUR
PK,62301,Ahmadpur Chishti,Souhern Punajb Mulan,29.9592,73.1867, ,AHMADPUR CHISHTI
PK,64380,Ahmadpur Lama,Souhern Punajb Mulan,28.3701,69.8937, ,AHMADPUR LAMA
PK,51311,Ahmalpur,Lahore,32.4228,74.2898, ,AHMALPUR
PK,43381,Ahmdal,Norhern Punajb Rawalpindi,33.2917,72.4892,4,AHMDAL
PK,80301,Ahmed Abad,Balochisan,28.1833,68.0667, ,AHMED ABAD
PK,88301,Ahmed Abad,Balochisan,29.0333,66.6833, ,AHMED ABAD
PK,68081,Ahmed Buriro,Hyderabad,25.7313,68.7458, ,AHMED BURIRO
PK,72201,Ahmed Khan Jamali,Hyderabad,24.6978,68.4965, ,AHMED KHAN JAMALI
PK,24831,Ahmed Khel,NWFP Peshawar,33.074,71.8023, ,AHMED KHEL
PK,28421,Ahmed Khel,NWFP Peshawar,32.5036,70.919, ,AHMED KHEL
PK,65101,Ahmed Ki,Hyderabad,28.05,69.4167, ,AHMED KI
PK,35461,Ahmed Nagar,Lahore,31.7472,72.8158, ,AHMED NAGAR
PK,47001,Ahmed Nagar,Norhern Punajb Rawalpindi,34.5481,72.5147, ,AHMED NAGAR
PK,52471,Ahmed Pur,Lahore,31.9356,74.156, ,AHMED PUR
PK,63351,Ahmed Pur S.Town,Souhern Punajb Mulan,29.15,71.225, ,AHMED PUR S.TOWN
PK,95150,Ahmedwal,Balochisan,29.4167,65.9333,4,AHMEDWAL
PK,69211,Ahori,Hyderabad,27.0167,67.6333,4,AHORI
PK,34000,Ahsan Pur,Souhern Punajb Mulan,30.65,70.95,4,AHSAN PUR
PK,77061,Ahsan Wahan,Hyderabad,27.4,68.1167,4,AHSAN WAHAN
PK,51601,Aima Qazian,Lahore,30.9434,72.2562, ,AIMA QAZIAN
PK,50001,Aima Shahji,Norhern Punajb Rawalpindi,32.95,73.8667,4,AIMA SHAHJI
PK,51601,Aino Bajwa,Lahore,30.9434,72.2562, ,AINO BAJWA
PK,51651,Aino Wali,Lahore,32.2389,74.9611, ,AINO WALI
PK,11015,Ainti,Federal Capial &AJK,34.8333,71.5731, ,AINTI
PK,32201,Air Port,Souhern Punajb Mulan,29.6618,70.1121, ,AIR PORT
PK,87650,Air Port Quetta,Balochisan,30.2333,66.9333, ,AIR PORT QUETTA
PK,77301,Aitbar Khan Chando,Hyderabad,27.8667,68.0167, ,AITBAR KHAN CHANDO
PK,56151,Ajitsar,Lahore,30.831,73.696, ,AJITSAR
PK,52201,Ajla Kolar,Lahore,32.3278,74.1992, ,AJLA KOLAR
PK,40411,Ajnala,Norhern Punajb Rawalpindi,32.1667,72.8,4,AJNALA
PK,50860,Ajnala,Norhern Punajb Rawalpindi,32.8,74.25, ,AJNALA
